date,open,high,low,close,volume,ticker,ma5,ma20,ma60,macd,macd_signal,macd_hist,rsi14,bb_width,bb_pct,atr14,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,ret_lag20,vol_ratio,pct_from_52w_high,stock_id,static_cap,sbv_rate,cal_day_of_week,cal_month,cal_day_of_month,cal_is_month_end,cal_is_qtr_end,cal_is_tet,cal_is_tet_pre,cal_rate_month,VNINDEX_close,usd_vnd,gold_vnd_per_gram,cross_HDB_lag1,cross_HDB_lag2,cross_TCB_lag1,cross_TCB_lag2,cross_TPB_lag1,cross_TPB_lag2,split
2/13/2019,6336,6407,6326,6346,15223208,HDB,6262.5062,6074.3666,6015.3822,120.1924,97.8196,22.3728,94.2307,0.0927,0.9824,84.2633,0.0032,0.0178,0.0227,0.0392,0.0392,0.0766,2.1336,0,0,1,6.5,2,2,13,0,0,0,0,0,950,23203,977848,6325.5581,6234.0308,12563.7158,12380.6377,6606.7788,6591.2705,train
2/14/2019,6326,6356,6224,6265,4359011,HDB,6274.7098,6092.672,6024.6103,118.5524,101.9662,16.5862,80.3571,0.0922,0.8059,86.4425,-0.0129,-0.0097,0.0049,0.0098,0.028,0.0602,0.6615,-0.0128,0,1,6.5,3,2,14,0,0,0,0,0,950,23203,977102,6345.8979,6325.5581,12609.4863,12563.7158,6622.2876,6606.7788,train
2/15/2019,6265,6265,6143,6183,5195965,HDB,6270.6418,6104.8756,6030.2735,109.4264,103.4582,5.9682,64.1509,0.0897,0.6429,86.4425,-0.0131,-0.026,-0.0228,-0.0033,0.0149,0.0403,0.8449,-0.0256,0,1,6.5,4,2,15,0,0,0,0,0,950,23203,983294,6264.54,6345.8979,12495.0615,12609.4863,6606.7788,6622.2876,train
2/18/2019,6183,6234,6132,6224,6838781,HDB,6268.6079,6120.1302,6036.949,104.2744,103.6215,0.6529,60.4167,0.0863,0.6964,83.5369,0.0066,-0.0065,-0.0194,-0.0016,0.0198,0.0503,1.0809,-0.0192,0,1,6.5,0,2,18,0,0,0,0,0,960,23203,983294,6183.1821,6264.54,12472.1768,12495.0615,6575.7612,6606.7788,train
2/19/2019,6224,6224,6051,6102,7082684,HDB,6223.8612,6128.2659,6039.1115,89.3145,100.7601,-11.4455,50,0.0817,0.4472,90.801,-0.0198,-0.0132,-0.0263,-0.036,0,0.027,1.0968,-0.0385,0,1,6.5,1,2,19,0,0,0,0,0,960,23203,999705,6223.8613,6183.1821,12517.9473,12472.1768,6591.2705,6575.7612,train
2/20/2019,6102,6102,6041,6041,3878126,HDB,6162.843,6133.3508,6039.1662,71.7085,94.9497,-23.2413,46.0318,0.0776,0.3055,88.6217,-0.0101,-0.0299,-0.0233,-0.0493,-0.0101,0.017,0.6017,-0.0481,0,1,6.5,2,2,20,0,0,0,0,0,970,23203,1002093,6101.8247,6223.8613,12609.4863,12517.9473,6544.7437,6591.2705,train
2/21/2019,6041,6092,5980,6061,7279198,HDB,6122.1642,6142.5035,6039.8531,58.7198,87.7038,-28.9839,47.6923,0.068,0.3053,92.2538,0.0034,-0.0067,-0.0265,-0.033,-0.0232,0.0307,1.1065,-0.0449,0,1,6.5,3,2,21,0,0,0,0,0,990,23203,987322,6040.8066,6101.8247,12609.4863,12609.4863,6544.7437,6544.7437,train
2/22/2019,6061,6204,6031,6122,6169086,HDB,6109.9605,6152.6732,6042.3473,52.742,80.7114,-27.9694,51.4286,0.0588,0.4157,100.2443,0.01,0.0134,0.0033,-0.0099,-0.0132,0.0338,0.9404,-0.0353,0,1,6.5,4,2,22,0,0,0,0,0,990,23203,991574,6061.146,6040.8066,12586.6006,12609.4863,6451.6904,6544.7437,train
2/25/2019,6143,6326,6143,6305,8197825,HDB,6126.232,6166.4023,6050.0788,62.06,76.9811,-14.9211,61.3636,0.0596,0.878,111.8668,0.0295,0.0395,0.0428,0.013,0.0114,0.0445,1.2263,-0.0064,0,1,6.5,0,2,25,0,0,0,0,0,990,22851.5,974128,6122.1641,6061.146,12678.1396,12586.6006,6513.7261,6451.6904,train
2/26/2019,6305,6315,6193,6234,5178110,HDB,6152.6732,6171.9957,6055.3346,62.9745,74.1798,-11.2053,56.8421,0.0599,0.6679,117.6781,-0.0114,0.0181,0.0281,0.0214,-0.0146,0.0181,0.8107,-0.0176,0,1,6.5,1,2,26,0,0,0,0,0,990,23203,988516,6305.2188,6122.1641,12701.0244,12678.1396,6591.2705,6513.7261,train
